03-25-2019 17:30:04.650,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"
03-25-2019 17:31:33.197,752,SENT,2B2B2B
03-25-2019 17:31:33.213,753,RECV,4F4B0D
03-25-2019 17:31:34.705,754,SENT,415444420D
03-25-2019 17:31:34.720,755,RECV,34310D
03-25-2019 17:31:36.209,756,SENT,2B2B2B
03-25-2019 17:31:36.224,757,RECV,4F4B0D
03-25-2019 17:31:37.727,758,SENT,415444420D
03-25-2019 17:31:37.787,759,RECV,34310D
03-25-2019 17:31:39.231,760,SENT,2B2B2B
03-25-2019 17:31:39.294,761,RECV,4F4B0D
03-25-2019 17:31:40.736,762,SENT,415444420D
03-25-2019 17:31:40.799,763,RECV,34310D
03-25-2019 17:31:42.245,764,SENT,2B2B2B
03-25-2019 17:31:42.296,765,RECV,4F4B0D
03-25-2019 17:31:43.756,766,SENT,415444420D
03-25-2019 17:31:43.818,767,RECV,34310D
03-25-2019 17:31:45.265,768,SENT,2B2B2B
03-25-2019 17:31:45.327,769,RECV,4F4B0D
03-25-2019 17:31:46.779,770,SENT,415444420D
03-25-2019 17:31:46.841,771,RECV,34310D
03-25-2019 17:31:48.293,772,SENT,2B2B2B
03-25-2019 17:31:48.355,773,RECV,4F4B0D
03-25-2019 17:31:49.796,774,SENT,415444420D
03-25-2019 17:31:49.811,775,RECV,34310D
03-25-2019 17:31:51.315,776,SENT,2B2B2B
03-25-2019 17:31:51.331,777,RECV,4F4B0D
03-25-2019 17:31:52.829,778,SENT,415444420D
03-25-2019 17:31:52.845,779,RECV,34310D
03-25-2019 17:31:54.342,780,SENT,2B2B2B
03-25-2019 17:31:54.357,781,RECV,4F4B0D
03-25-2019 17:31:55.848,782,SENT,415444420D
03-25-2019 17:31:55.864,783,RECV,34310D
03-25-2019 17:31:57.348,784,SENT,2B2B2B
03-25-2019 17:31:57.402,785,RECV,4F4B0D
03-25-2019 17:31:58.857,786,SENT,415444420D
03-25-2019 17:31:58.894,787,RECV,34310D
03-25-2019 17:32:00.363,788,SENT,2B2B2B
03-25-2019 17:32:00.400,789,RECV,4F4B0D
03-25-2019 17:32:01.872,790,SENT,415444420D
03-25-2019 17:32:01.910,791,RECV,34310D
03-25-2019 17:32:03.374,792,SENT,2B2B2B
03-25-2019 17:32:03.412,793,RECV,4F4B0D
03-25-2019 17:32:04.885,794,SENT,415444420D
03-25-2019 17:32:04.922,795,RECV,34310D
03-25-2019 17:32:06.398,796,SENT,2B2B2B
03-25-2019 17:32:06.429,797,RECV,4F4B0D
03-25-2019 17:32:07.902,798,SENT,415444420D
03-25-2019 17:32:07.933,799,RECV,34330D
03-25-2019 17:32:09.406,800,SENT,2B2B2B
03-25-2019 17:32:09.437,801,RECV,4F4B0D
03-25-2019 17:32:10.921,802,SENT,415444420D
03-25-2019 17:32:10.952,803,RECV,34320D
03-25-2019 17:32:12.431,804,SENT,2B2B2B
03-25-2019 17:32:12.447,805,RECV,4F4B0D
03-25-2019 17:32:13.942,806,SENT,415444420D
03-25-2019 17:32:13.957,807,RECV,34320D
03-25-2019 17:32:15.453,808,SENT,2B2B2B
03-25-2019 17:32:15.469,809,RECV,4F4B0D
03-25-2019 17:32:16.955,810,SENT,415444420D
03-25-2019 17:32:17.024,811,RECV,34340D
03-25-2019 17:32:18.465,812,SENT,2B2B2B
03-25-2019 17:32:18.480,813,RECV,4F4B0D
03-25-2019 17:32:19.965,814,SENT,415444420D
03-25-2019 17:32:19.981,815,RECV,34330D
03-25-2019 17:32:21.478,816,SENT,2B2B2B
03-25-2019 17:32:21.493,817,RECV,4F4B0D
03-25-2019 17:32:22.988,818,SENT,415444420D
03-25-2019 17:32:23.057,819,RECV,34320D
03-25-2019 17:32:24.503,820,SENT,2B2B2B
03-25-2019 17:32:24.518,821,RECV,4F4B0D
03-25-2019 17:32:26.013,822,SENT,415444420D
03-25-2019 17:32:26.029,823,RECV,34320D
03-25-2019 17:32:27.520,824,SENT,2B2B2B
03-25-2019 17:32:27.551,825,RECV,4F4B0D
03-25-2019 17:32:29.028,826,SENT,415444420D
03-25-2019 17:32:29.097,827,RECV,34320D
03-25-2019 17:32:30.538,828,SENT,2B2B2B
03-25-2019 17:32:30.585,829,RECV,4F4B0D
03-25-2019 17:32:32.049,830,SENT,415444420D
03-25-2019 17:32:32.095,831,RECV,34320D
03-25-2019 17:32:33.557,832,SENT,2B2B2B
03-25-2019 17:32:33.604,833,RECV,4F4B0D
03-25-2019 17:32:35.072,834,SENT,415444420D
03-25-2019 17:32:35.119,835,RECV,34320D
03-25-2019 17:32:36.585,836,SENT,2B2B2B
03-25-2019 17:32:36.632,837,RECV,4F4B0D
03-25-2019 17:32:38.093,838,SENT,415444420D
03-25-2019 17:32:38.140,839,RECV,34320D
03-25-2019 17:32:39.598,840,SENT,2B2B2B
03-25-2019 17:32:39.629,841,RECV,4F4B0D
03-25-2019 17:32:41.108,842,SENT,415444420D
03-25-2019 17:32:41.123,843,RECV,34320D
03-25-2019 17:32:42.613,844,SENT,2B2B2B
03-25-2019 17:32:42.665,845,RECV,4F4B0D
03-25-2019 17:32:44.125,846,SENT,415444420D
03-25-2019 17:32:44.178,847,RECV,34320D
03-25-2019 17:32:45.633,848,SENT,2B2B2B
03-25-2019 17:32:45.686,849,RECV,4F4B0D
03-25-2019 17:32:47.135,850,SENT,415444420D
03-25-2019 17:32:47.189,851,RECV,34320D
03-25-2019 17:32:48.641,852,SENT,2B2B2B
03-25-2019 17:32:48.694,853,RECV,4F4B0D
03-25-2019 17:32:50.147,854,SENT,415444420D
03-25-2019 17:32:50.200,855,RECV,34320D
03-25-2019 17:32:51.652,856,SENT,2B2B2B
03-25-2019 17:32:51.705,857,RECV,4F4B0D
03-25-2019 17:32:53.158,858,SENT,415444420D
03-25-2019 17:32:53.211,859,RECV,34320D
03-25-2019 17:32:54.667,860,SENT,2B2B2B
03-25-2019 17:32:54.720,861,RECV,4F4B0D
03-25-2019 17:32:56.170,862,SENT,415444420D
03-25-2019 17:32:56.186,863,RECV,34320D
03-25-2019 17:32:57.682,864,SENT,2B2B2B
03-25-2019 17:32:57.736,865,RECV,4F4B0D
03-25-2019 17:32:59.184,866,SENT,415444420D
03-25-2019 17:32:59.200,867,RECV,34320D
03-25-2019 17:33:00.695,868,SENT,2B2B2B
03-25-2019 17:33:00.711,869,RECV,4F4B0D
03-25-2019 17:33:02.205,870,SENT,415444420D
03-25-2019 17:33:02.272,871,RECV,34390D
03-25-2019 17:33:03.709,872,SENT,2B2B2B
03-25-2019 17:33:03.777,873,RECV,4F4B0D
03-25-2019 17:33:05.220,874,SENT,415444420D
03-25-2019 17:33:05.289,875,RECV,34410D
03-25-2019 17:33:06.731,876,SENT,2B2B2B
03-25-2019 17:33:06.800,877,RECV,4F4B0D
03-25-2019 17:33:08.242,878,SENT,415444420D
03-25-2019 17:33:08.257,879,RECV,34410D
03-25-2019 17:33:09.750,880,SENT,2B2B2B
03-25-2019 17:33:09.765,881,RECV,4F
03-25-2019 17:33:09.866,882,RECV,4B0D
03-25-2019 17:33:11.261,883,SENT,415444420D
03-25-2019 17:33:11.330,884,RECV,34410D
03-25-2019 17:33:12.768,885,SENT,2B2B2B
03-25-2019 17:33:12.822,886,RECV,4F4B0D
03-25-2019 17:33:14.274,887,SENT,415444420D
03-25-2019 17:33:14.327,888,RECV,34410D
03-25-2019 17:33:15.779,889,SENT,2B2B2B
03-25-2019 17:33:15.832,890,RECV,4F4B0D
03-25-2019 17:33:17.292,891,SENT,415444420D
03-25-2019 17:33:17.377,892,RECV,34390D
03-25-2019 17:33:18.811,893,SENT,2B2B2B
03-25-2019 17:33:18.831,894,RECV,4F4B0D
03-25-2019 17:33:20.319,895,SENT,415444420D
03-25-2019 17:33:20.404,896,RECV,34390D
03-25-2019 17:33:21.832,897,SENT,2B2B2B
03-25-2019 17:33:21.848,898,RECV,4F4B0D
03-25-2019 17:33:23.336,899,SENT,415444420D
03-25-2019 17:33:23.352,900,RECV,34390D
03-25-2019 17:33:24.848,901,SENT,2B2B2B
03-25-2019 17:33:24.917,902,RECV,4F4B0D
03-25-2019 17:33:26.355,903,SENT,415444420D
03-25-2019 17:33:26.424,904,RECV,34410D
03-25-2019 17:33:27.862,905,SENT,2B2B2B
03-25-2019 17:33:27.909,906,RECV,4F4B0D
03-25-2019 17:33:29.366,907,SENT,415444420D
03-25-2019 17:33:29.398,908,RECV,34
03-25-2019 17:33:29.451,909,RECV,410D
03-25-2019 17:33:30.870,910,SENT,2B2B2B
03-25-2019 17:33:30.902,911,RECV,4F4B0D
03-25-2019 17:33:32.373,912,SENT,415444420D
03-25-2019 17:33:32.404,913,RECV,34410D
03-25-2019 17:33:33.883,914,SENT,2B2B2B
03-25-2019 17:33:33.914,915,RECV,4F4B0D
03-25-2019 17:33:35.389,916,SENT,415444420D
03-25-2019 17:33:35.421,917,RECV,34410D
03-25-2019 17:33:36.901,918,SENT,2B2B2B
03-25-2019 17:33:36.986,919,RECV,4F4B0D
03-25-2019 17:33:38.404,920,SENT,415444420D
03-25-2019 17:33:38.451,921,RECV,34390D
