03-22-2019,15:09:00,-66
03-22-2019,15:09:03,-66
03-22-2019,15:09:06,-66
03-22-2019,15:09:09,-66
03-22-2019,15:09:12,-66
03-22-2019,15:09:15,-66
03-22-2019,15:09:18,-66
03-22-2019,15:09:21,-66
03-22-2019,15:09:27,-66
03-22-2019,15:09:30,-66
03-22-2019,15:09:33,-66
03-22-2019,15:09:36,-66
03-22-2019,15:09:39,-66
03-22-2019,15:09:42,-66
03-22-2019,15:09:45,-66
03-22-2019,15:09:48,-66
03-22-2019,15:09:54,-66
03-22-2019,15:09:57,-66
03-22-2019,15:10:00,-66
03-22-2019,15:10:03,-66
03-22-2019,15:10:06,-66
03-22-2019,15:10:09,-66
03-22-2019,15:10:12,-78
03-22-2019,15:10:15,-77
03-22-2019,15:10:18,-77
03-22-2019,15:10:21,-78
03-22-2019,15:10:24,-77
03-22-2019,15:10:27,-78
03-22-2019,15:10:30,-78
03-22-2019,15:10:33,-78
03-22-2019,15:10:36,-77
03-22-2019,15:10:39,-77
03-22-2019,15:10:42,-77
03-22-2019,15:10:45,-77
03-22-2019,15:10:48,-77
03-22-2019,15:10:51,-77
03-22-2019,15:10:54,-78
03-22-2019,15:10:57,-78
03-22-2019,15:11:00,-76
03-22-2019,15:11:03,-77
03-22-2019,15:11:06,-77
03-22-2019,15:11:09,-77
03-22-2019,15:11:12,-78
03-22-2019,15:11:15,-77
03-22-2019,15:11:18,-78
03-22-2019,15:11:21,-78
03-22-2019,15:11:24,-78
03-22-2019,15:11:27,-78
03-22-2019,15:11:30,-78
03-22-2019,15:11:33,-78
03-22-2019,15:11:36,-78
03-22-2019,15:11:39,-78
03-22-2019,15:11:42,-78
03-22-2019,15:11:45,-77
03-22-2019,15:11:48,-78
03-22-2019,15:11:51,-78
03-22-2019,15:11:54,-79
03-22-2019,15:11:57,-78
03-22-2019,15:12:00,-78
03-22-2019,15:12:03,-78
03-22-2019,15:12:06,-78
03-22-2019,15:12:09,-78
03-22-2019,15:12:12,-78
03-22-2019,15:12:15,-78
03-22-2019,15:12:18,-78
03-22-2019,15:12:21,-78
03-22-2019,15:12:24,-78
03-22-2019,15:12:27,-78
03-22-2019,15:12:30,-78
03-22-2019,15:12:33,-78
03-22-2019,15:12:36,-78
03-22-2019,15:12:39,-78
03-22-2019,15:12:42,-78
03-22-2019,15:12:45,-78
03-22-2019,15:12:48,-78
03-22-2019,15:12:51,-78
03-22-2019,15:12:54,-78
03-22-2019,15:12:57,-78
03-22-2019,15:13:00,-80
03-22-2019,15:13:03,-80
03-22-2019,15:13:06,-80
03-22-2019,15:13:09,-82
03-22-2019,15:13:12,-82
03-22-2019,15:13:15,-82
03-22-2019,15:13:18,-81
03-22-2019,15:13:21,-80
03-22-2019,15:13:24,-80
03-22-2019,15:13:27,-80
03-22-2019,15:13:30,-80
03-22-2019,15:13:33,-80
03-22-2019,15:13:36,-80
03-22-2019,15:13:42,-80
03-22-2019,15:13:45,-81
03-22-2019,15:13:48,-81
03-22-2019,15:13:51,-80
03-22-2019,15:13:54,-80
03-22-2019,15:13:57,-82
03-22-2019,15:14:00,-82
03-22-2019,15:14:03,-80
