03-22-2019 15:02:31.858,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"
03-22-2019 15:08:37.572,971,SENT,2B2B2B
03-22-2019 15:08:37.577,972,RECV,4F
03-22-2019 15:08:37.628,973,RECV,4B0D
03-22-2019 15:08:39.074,974,SENT,415444420D
03-22-2019 15:08:39.085,975,RECV,34320D
03-22-2019 15:08:40.575,976,SENT,2B2B2B
03-22-2019 15:08:40.591,977,RECV,4F4B0D
03-22-2019 15:08:42.075,978,SENT,415444420D
03-22-2019 15:08:42.097,979,RECV,34320D
03-22-2019 15:08:43.575,980,SENT,2B2B2B
03-22-2019 15:08:43.606,981,RECV,4F4B0D
03-22-2019 15:08:45.077,982,SENT,415444420D
03-22-2019 15:08:45.117,983,RECV,34320D
03-22-2019 15:08:46.578,984,SENT,2B2B2B
03-22-2019 15:08:46.624,985,RECV,4F4B0D
03-22-2019 15:08:48.079,986,SENT,415444420D
03-22-2019 15:08:48.135,987,RECV,34320D
03-22-2019 15:08:49.579,988,SENT,2B2B2B
03-22-2019 15:08:49.593,989,RECV,4F4B0D
03-22-2019 15:08:51.080,990,SENT,415444420D
03-22-2019 15:08:51.101,991,RECV,34320D
03-22-2019 15:08:52.581,992,SENT,2B2B2B
03-22-2019 15:08:52.606,993,RECV,4F4B0D
03-22-2019 15:08:54.081,994,SENT,415444420D
03-22-2019 15:08:54.112,995,RECV,34320D
03-22-2019 15:08:55.582,996,SENT,2B2B2B
03-22-2019 15:08:55.618,997,RECV,4F4B0D
03-22-2019 15:08:57.084,998,SENT,415444420D
03-22-2019 15:08:57.125,999,RECV,34320D
03-22-2019 15:08:58.585,1000,SENT,2B2B2B
03-22-2019 15:08:58.632,1001,RECV,4F4B0D
03-22-2019 15:09:00.084,1002,SENT,415444420D
03-22-2019 15:09:00.142,1003,RECV,34320D
03-22-2019 15:09:01.586,1004,SENT,2B2B2B
03-22-2019 15:09:01.600,1005,RECV,4F4B0D
03-22-2019 15:09:03.087,1006,SENT,415444420D
03-22-2019 15:09:03.106,1007,RECV,34320D
03-22-2019 15:09:04.588,1008,SENT,2B2B2B
03-22-2019 15:09:04.613,1009,RECV,4F4B0D
03-22-2019 15:09:06.089,1010,SENT,415444420D
03-22-2019 15:09:06.118,1011,RECV,34320D
03-22-2019 15:09:07.589,1012,SENT,2B2B2B
03-22-2019 15:09:07.628,1013,RECV,4F4B0D
03-22-2019 15:09:09.089,1014,SENT,415444420D
03-22-2019 15:09:09.133,1015,RECV,34320D
03-22-2019 15:09:10.590,1016,SENT,2B2B2B
03-22-2019 15:09:10.641,1017,RECV,4F4B0D
03-22-2019 15:09:12.090,1018,SENT,415444420D
03-22-2019 15:09:12.146,1019,RECV,34320D
03-22-2019 15:09:13.591,1020,SENT,2B2B2B
03-22-2019 15:09:13.603,1021,RECV,4F4B0D
03-22-2019 15:09:15.091,1022,SENT,415444420D
03-22-2019 15:09:15.112,1023,RECV,34320D
03-22-2019 15:09:16.593,1024,SENT,2B2B2B
03-22-2019 15:09:16.619,1025,RECV,4F4B0D
03-22-2019 15:09:18.094,1026,SENT,415444420D
03-22-2019 15:09:18.128,1027,RECV,34320D
03-22-2019 15:09:19.594,1028,SENT,2B2B2B
03-22-2019 15:09:19.634,1029,RECV,4F4B0D
03-22-2019 15:09:21.095,1030,SENT,415444420D
03-22-2019 15:09:21.141,1031,RECV,34320D
03-22-2019 15:09:22.596,1032,SENT,2B2B2B
03-22-2019 15:09:22.646,1033,RECV,4F4B0D
03-22-2019 15:09:24.096,1034,SENT,415444420D
03-22-2019 15:09:24.103,1035,RECV,34
03-22-2019 15:09:24.154,1036,RECV,320D
03-22-2019 15:09:25.597,1037,SENT,2B2B2B
03-22-2019 15:09:25.610,1038,RECV,4F4B0D
03-22-2019 15:09:27.098,1039,SENT,415444420D
03-22-2019 15:09:27.116,1040,RECV,34320D
03-22-2019 15:09:28.599,1041,SENT,2B2B2B
03-22-2019 15:09:28.621,1042,RECV,4F4B0D
03-22-2019 15:09:30.099,1043,SENT,415444420D
03-22-2019 15:09:30.128,1044,RECV,34320D
03-22-2019 15:09:31.600,1045,SENT,2B2B2B
03-22-2019 15:09:31.635,1046,RECV,4F4B0D
03-22-2019 15:09:33.100,1047,SENT,415444420D
03-22-2019 15:09:33.141,1048,RECV,34320D
03-22-2019 15:09:34.601,1049,SENT,2B2B2B
03-22-2019 15:09:34.646,1050,RECV,4F4B0D
03-22-2019 15:09:36.101,1051,SENT,415444420D
03-22-2019 15:09:36.152,1052,RECV,34320D
03-22-2019 15:09:37.603,1053,SENT,2B2B2B
03-22-2019 15:09:37.611,1054,RECV,4F4B0D
03-22-2019 15:09:39.102,1055,SENT,415444420D
03-22-2019 15:09:39.116,1056,RECV,34320D
03-22-2019 15:09:40.604,1057,SENT,2B2B2B
03-22-2019 15:09:40.620,1058,RECV,4F4B0D
03-22-2019 15:09:42.104,1059,SENT,415444420D
03-22-2019 15:09:42.125,1060,RECV,34320D
03-22-2019 15:09:43.606,1061,SENT,2B2B2B
03-22-2019 15:09:43.630,1062,RECV,4F4B0D
03-22-2019 15:09:45.106,1063,SENT,415444420D
03-22-2019 15:09:45.135,1064,RECV,34320D
03-22-2019 15:09:46.607,1065,SENT,2B2B2B
03-22-2019 15:09:46.644,1066,RECV,4F4B0D
03-22-2019 15:09:48.108,1067,SENT,415444420D
03-22-2019 15:09:48.153,1068,RECV,34320D
03-22-2019 15:09:49.609,1069,SENT,2B2B2B
03-22-2019 15:09:49.660,1070,RECV,4F4B0D
03-22-2019 15:09:51.109,1071,SENT,415444420D
03-22-2019 15:09:51.116,1072,RECV,34
03-22-2019 15:09:51.167,1073,RECV,320D
03-22-2019 15:09:52.610,1074,SENT,2B2B2B
03-22-2019 15:09:52.623,1075,RECV,4F4B0D
03-22-2019 15:09:54.111,1076,SENT,415444420D
03-22-2019 15:09:54.131,1077,RECV,34320D
03-22-2019 15:09:55.613,1078,SENT,2B2B2B
03-22-2019 15:09:55.637,1079,RECV,4F4B0D
03-22-2019 15:09:57.114,1080,SENT,415444420D
03-22-2019 15:09:57.144,1081,RECV,34320D
03-22-2019 15:09:58.615,1082,SENT,2B2B2B
03-22-2019 15:09:58.650,1083,RECV,4F4B0D
03-22-2019 15:10:00.115,1084,SENT,415444420D
03-22-2019 15:10:00.156,1085,RECV,34320D
03-22-2019 15:10:01.616,1086,SENT,2B2B2B
03-22-2019 15:10:01.662,1087,RECV,4F4B0D
03-22-2019 15:10:03.117,1088,SENT,415444420D
03-22-2019 15:10:03.170,1089,RECV,34320D
03-22-2019 15:10:04.618,1090,SENT,2B2B2B
03-22-2019 15:10:04.627,1091,RECV,4F4B0D
03-22-2019 15:10:06.119,1092,SENT,415444420D
03-22-2019 15:10:06.136,1093,RECV,34320D
03-22-2019 15:10:07.620,1094,SENT,2B2B2B
03-22-2019 15:10:07.643,1095,RECV,4F4B0D
03-22-2019 15:10:09.120,1096,SENT,415444420D
03-22-2019 15:10:09.149,1097,RECV,34320D
03-22-2019 15:10:10.622,1098,SENT,2B2B2B
03-22-2019 15:10:10.656,1099,RECV,4F4B0D
03-22-2019 15:10:12.122,1100,SENT,415444420D
03-22-2019 15:10:12.164,1101,RECV,34450D
03-22-2019 15:10:13.623,1102,SENT,2B2B2B
03-22-2019 15:10:13.674,1103,RECV,4F4B0D
03-22-2019 15:10:15.123,1104,SENT,415444420D
03-22-2019 15:10:15.181,1105,RECV,34440D
03-22-2019 15:10:16.624,1106,SENT,2B2B2B
03-22-2019 15:10:16.638,1107,RECV,4F4B0D
03-22-2019 15:10:18.123,1108,SENT,415444420D
03-22-2019 15:10:18.146,1109,RECV,34440D
03-22-2019 15:10:19.623,1110,SENT,2B2B2B
03-22-2019 15:10:19.653,1111,RECV,4F4B0D
03-22-2019 15:10:21.124,1112,SENT,415444420D
03-22-2019 15:10:21.161,1113,RECV,34450D
03-22-2019 15:10:22.624,1114,SENT,2B2B2B
03-22-2019 15:10:22.672,1115,RECV,4F4B0D
03-22-2019 15:10:24.124,1116,SENT,415444420D
03-22-2019 15:10:24.134,1117,RECV,34440D
03-22-2019 15:10:25.625,1118,SENT,2B2B2B
03-22-2019 15:10:25.650,1119,RECV,4F4B0D
03-22-2019 15:10:27.125,1120,SENT,415444420D
03-22-2019 15:10:27.215,1121,RECV,34450D
03-22-2019 15:10:28.626,1122,SENT,2B2B2B
03-22-2019 15:10:28.673,1123,RECV,4F4B0D
03-22-2019 15:10:30.126,1124,SENT,415444420D
03-22-2019 15:10:30.180,1125,RECV,34450D
03-22-2019 15:10:31.627,1126,SENT,2B2B2B
03-22-2019 15:10:31.685,1127,RECV,4F4B0D
03-22-2019 15:10:33.127,1128,SENT,415444420D
03-22-2019 15:10:33.245,1129,RECV,34450D
03-22-2019 15:10:34.628,1130,SENT,2B2B2B
03-22-2019 15:10:34.651,1131,RECV,4F4B0D
03-22-2019 15:10:36.128,1132,SENT,415444420D
03-22-2019 15:10:36.160,1133,RECV,34440D
03-22-2019 15:10:37.629,1134,SENT,2B2B2B
03-22-2019 15:10:37.669,1135,RECV,4F4B0D
03-22-2019 15:10:39.129,1136,SENT,415444420D
03-22-2019 15:10:39.176,1137,RECV,34440D
03-22-2019 15:10:40.631,1138,SENT,2B2B2B
03-22-2019 15:10:40.635,1139,RECV,4F
03-22-2019 15:10:40.685,1140,RECV,4B0D
03-22-2019 15:10:42.131,1141,SENT,415444420D
03-22-2019 15:10:42.143,1142,RECV,34440D
03-22-2019 15:10:43.632,1143,SENT,2B2B2B
03-22-2019 15:10:43.650,1144,RECV,4F4B0D
03-22-2019 15:10:45.132,1145,SENT,415444420D
03-22-2019 15:10:45.154,1146,RECV,34440D
03-22-2019 15:10:46.633,1147,SENT,2B2B2B
03-22-2019 15:10:46.660,1148,RECV,4F4B0D
03-22-2019 15:10:48.133,1149,SENT,415444420D
03-22-2019 15:10:48.167,1150,RECV,34440D
03-22-2019 15:10:49.635,1151,SENT,2B2B2B
03-22-2019 15:10:49.673,1152,RECV,4F4B0D
