03-25-2019 18:12:57.532,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"
03-25-2019 18:14:22.723,4170,SENT,415444420D
03-25-2019 18:14:22.785,4171,RECV,34320D
03-25-2019 18:14:24.225,4172,SENT,2B2B2B
03-25-2019 18:14:24.287,4173,RECV,4F4B0D
03-25-2019 18:14:25.736,4174,SENT,415444420D
03-25-2019 18:14:25.798,4175,RECV,34310D
03-25-2019 18:14:27.242,4176,SENT,2B2B2B
03-25-2019 18:14:27.304,4177,RECV,4F4B0D
03-25-2019 18:14:28.749,4178,SENT,415444420D
03-25-2019 18:14:28.827,4179,RECV,34300D
03-25-2019 18:14:30.260,4180,SENT,2B2B2B
03-25-2019 18:14:30.338,4181,RECV,4F4B0D
03-25-2019 18:14:31.775,4182,SENT,415444420D
03-25-2019 18:14:31.791,4183,RECV,34310D
03-25-2019 18:14:33.283,4184,SENT,2B2B2B
03-25-2019 18:14:33.298,4185,RECV,4F4B
03-25-2019 18:14:33.361,4186,RECV,0D
03-25-2019 18:14:34.789,4187,SENT,415444420D
03-25-2019 18:14:34.804,4188,RECV,34300D
03-25-2019 18:14:36.302,4189,SENT,2B2B2B
03-25-2019 18:14:36.318,4190,RECV,4F4B0D
03-25-2019 18:14:37.813,4191,SENT,415444420D
03-25-2019 18:14:37.828,4192,RECV,34320D
03-25-2019 18:14:39.318,4193,SENT,2B2B2B
03-25-2019 18:14:39.334,4194,RECV,4F4B0D
03-25-2019 18:14:40.822,4195,SENT,415444420D
03-25-2019 18:14:40.837,4196,RECV,34320D
03-25-2019 18:14:42.323,4197,SENT,2B2B2B
03-25-2019 18:14:42.346,4198,RECV,4F4B0D
03-25-2019 18:14:43.825,4199,SENT,415444420D
03-25-2019 18:14:43.848,4200,RECV,34320D
03-25-2019 18:14:45.328,4201,SENT,2B2B2B
03-25-2019 18:14:45.350,4202,RECV,4F4B0D
03-25-2019 18:14:46.834,4203,SENT,415444420D
03-25-2019 18:14:46.856,4204,RECV,34320D
03-25-2019 18:14:48.344,4205,SENT,2B2B2B
03-25-2019 18:14:48.367,4206,RECV,4F4B0D
03-25-2019 18:14:49.851,4207,SENT,415444420D
03-25-2019 18:14:49.872,4208,RECV,34320D
03-25-2019 18:14:51.363,4209,SENT,2B2B2B
03-25-2019 18:14:51.385,4210,RECV,4F4B0D
