03-22-2019 15:24:41.563,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"
03-22-2019 15:27:57.733,2552,RECV,34420D
03-22-2019 15:27:59.214,2553,SENT,2B2B2B
03-22-2019 15:27:59.239,2554,RECV,4F4B0D
03-22-2019 15:28:00.716,2555,SENT,415444420D
03-22-2019 15:28:00.746,2556,RECV,34420D
03-22-2019 15:28:02.217,2557,SENT,2B2B2B
03-22-2019 15:28:02.255,2558,RECV,4F4B0D
03-22-2019 15:28:03.718,2559,SENT,415444420D
03-22-2019 15:28:03.762,2560,RECV,34420D
03-22-2019 15:28:05.219,2561,SENT,2B2B2B
03-22-2019 15:28:05.270,2562,RECV,4F4B0D
03-22-2019 15:28:06.720,2563,SENT,415444420D
03-22-2019 15:28:06.774,2564,RECV,34420D
03-22-2019 15:28:08.221,2565,SENT,2B2B2B
03-22-2019 15:28:08.235,2566,RECV,4F4B0D
03-22-2019 15:28:09.722,2567,SENT,415444420D
03-22-2019 15:28:09.741,2568,RECV,34420D
03-22-2019 15:28:11.224,2569,SENT,2B2B2B
03-22-2019 15:28:11.247,2570,RECV,4F4B0D
03-22-2019 15:28:12.724,2571,SENT,415444420D
03-22-2019 15:28:12.806,2572,RECV,35360D
