03-22-2019 17:16:39.995,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"
03-22-2019 17:18:03.375,11532,RECV,4F4B0D
03-22-2019 17:18:04.868,11533,SENT,415444420D
03-22-2019 17:18:04.883,11534,RECV,35310D
03-22-2019 17:18:06.369,11535,SENT,2B2B2B
03-22-2019 17:18:06.392,11536,RECV,4F4B0D
03-22-2019 17:18:07.869,11537,SENT,415444420D
03-22-2019 17:18:07.902,11538,RECV,35310D
03-22-2019 17:18:09.371,11539,SENT,2B2B2B
03-22-2019 17:18:09.410,11540,RECV,4F4B0D
03-22-2019 17:18:10.872,11541,SENT,415444420D
03-22-2019 17:18:10.918,11542,RECV,35310D
03-22-2019 17:18:12.373,11543,SENT,2B2B2B
03-22-2019 17:18:12.426,11544,RECV,4F4B0D
03-22-2019 17:18:13.875,11545,SENT,415444420D
03-22-2019 17:18:13.884,11546,RECV,35310D
03-22-2019 17:18:15.375,11547,SENT,2B2B2B
03-22-2019 17:18:15.392,11548,RECV,4F4B0D
03-22-2019 17:18:16.876,11549,SENT,415444420D
03-22-2019 17:18:16.900,11550,RECV,35310D
03-22-2019 17:18:18.377,11551,SENT,2B2B2B
03-22-2019 17:18:18.409,11552,RECV,4F4B0D
03-22-2019 17:18:19.878,11553,SENT,415444420D
03-22-2019 17:18:19.920,11554,RECV,35310D
03-22-2019 17:18:21.378,11555,SENT,2B2B2B
03-22-2019 17:18:21.426,11556,RECV,4F4B0D
03-22-2019 17:18:22.880,11557,SENT,415444420D
03-22-2019 17:18:22.887,11558,RECV,35
03-22-2019 17:18:22.937,11559,RECV,310D
03-22-2019 17:18:24.380,11560,SENT,2B2B2B
03-22-2019 17:18:24.396,11561,RECV,4F4B0D
03-22-2019 17:18:25.882,11562,SENT,415444420D
03-22-2019 17:18:25.904,11563,RECV,35310D
03-22-2019 17:18:27.382,11564,SENT,2B2B2B
03-22-2019 17:18:27.414,11565,RECV,4F4B0D
03-22-2019 17:18:28.884,11566,SENT,415444420D
03-22-2019 17:18:28.925,11567,RECV,35310D
03-22-2019 17:18:30.384,11568,SENT,2B2B2B
03-22-2019 17:18:30.434,11569,RECV,4F4B0D
03-22-2019 17:18:31.886,11570,SENT,415444420D
03-22-2019 17:18:31.893,11571,RECV,34
03-22-2019 17:18:31.943,11572,RECV,390D
03-22-2019 17:18:33.394,11573,SENT,2B2B2B
03-22-2019 17:18:33.398,11574,RECV,4F4B0D
03-22-2019 17:18:34.893,11575,SENT,415444420D
03-22-2019 17:18:34.906,11576,RECV,34390D
03-22-2019 17:18:36.394,11577,SENT,2B2B2B
03-22-2019 17:18:36.413,11578,RECV,4F4B0D
03-22-2019 17:18:37.895,11579,SENT,415444420D
03-22-2019 17:18:37.922,11580,RECV,34390D
03-22-2019 17:18:39.396,11581,SENT,2B2B2B
03-22-2019 17:18:39.430,11582,RECV,4F4B0D
03-22-2019 17:18:40.896,11583,SENT,415444420D
03-22-2019 17:18:40.939,11584,RECV,34410D
03-22-2019 17:18:42.397,11585,SENT,2B2B2B
03-22-2019 17:18:42.448,11586,RECV,4F4B0D
03-22-2019 17:18:43.898,11587,SENT,415444420D
03-22-2019 17:18:43.960,11588,RECV,34410D
03-22-2019 17:18:45.400,11589,SENT,2B2B2B
03-22-2019 17:18:45.419,11590,RECV,4F4B0D
03-22-2019 17:18:46.899,11591,SENT,415444420D
03-22-2019 17:18:46.926,11592,RECV,34410D
03-22-2019 17:18:48.401,11593,SENT,2B2B2B
03-22-2019 17:18:48.436,11594,RECV,4F4B0D
03-22-2019 17:18:49.901,11595,SENT,415444420D
03-22-2019 17:18:49.946,11596,RECV,34410D
03-22-2019 17:18:51.403,11597,SENT,2B2B2B
03-22-2019 17:18:51.454,11598,RECV,4F4B0D
03-22-2019 17:18:52.903,11599,SENT,415444420D
03-22-2019 17:18:52.911,11600,RECV,34410D
03-22-2019 17:18:54.405,11601,SENT,2B2B2B
03-22-2019 17:18:54.422,11602,RECV,4F4B0D
03-22-2019 17:18:55.905,11603,SENT,415444420D
03-22-2019 17:18:55.929,11604,RECV,34390D
03-22-2019 17:18:57.405,11605,SENT,2B2B2B
03-22-2019 17:18:57.440,11606,RECV,4F4B0D
03-22-2019 17:18:58.907,11607,SENT,415444420D
03-22-2019 17:18:58.947,11608,RECV,34390D
03-22-2019 17:19:00.407,11609,SENT,2B2B2B
03-22-2019 17:19:00.461,11610,RECV,4F4B0D
03-22-2019 17:19:01.908,11611,SENT,415444420D
03-22-2019 17:19:01.924,11612,RECV,34390D
03-22-2019 17:19:03.409,11613,SENT,2B2B2B
03-22-2019 17:19:03.437,11614,RECV,4F4B0D
03-22-2019 17:19:04.910,11615,SENT,415444420D
03-22-2019 17:19:04.943,11616,RECV,34390D
03-22-2019 17:19:06.410,11617,SENT,2B2B2B
03-22-2019 17:19:06.448,11618,RECV,4F4B0D
03-22-2019 17:19:07.911,11619,SENT,415444420D
03-22-2019 17:19:07.959,11620,RECV,34370D
03-22-2019 17:19:09.413,11621,SENT,2B2B2B
03-22-2019 17:19:09.469,11622,RECV,4F4B0D
03-22-2019 17:19:10.913,11623,SENT,415444420D
03-22-2019 17:19:10.927,11624,RECV,34390D
03-22-2019 17:19:12.414,11625,SENT,2B2B2B
03-22-2019 17:19:12.436,11626,RECV,4F4B0D
03-22-2019 17:19:13.914,11627,SENT,415444420D
03-22-2019 17:19:13.948,11628,RECV,34390D
03-22-2019 17:19:15.418,11629,SENT,2B2B2B
03-22-2019 17:19:15.457,11630,RECV,4F4B0D
03-22-2019 17:19:16.917,11631,SENT,415444420D
03-22-2019 17:19:16.967,11632,RECV,34390D
03-22-2019 17:19:18.419,11633,SENT,2B2B2B
03-22-2019 17:19:18.475,11634,RECV,4F4B0D
03-22-2019 17:19:19.919,11635,SENT,415444420D
03-22-2019 17:19:19.933,11636,RECV,34390D
03-22-2019 17:19:21.420,11637,SENT,2B2B2B
03-22-2019 17:19:21.440,11638,RECV,4F4B0D
03-22-2019 17:19:22.920,11639,SENT,415444420D
03-22-2019 17:19:22.998,11640,RECV,34380D
03-22-2019 17:19:24.422,11641,SENT,2B2B2B
03-22-2019 17:19:24.456,11642,RECV,4F4B0D
03-22-2019 17:19:25.922,11643,SENT,415444420D
03-22-2019 17:19:25.966,11644,RECV,34390D
03-22-2019 17:19:27.422,11645,SENT,2B2B2B
03-22-2019 17:19:27.474,11646,RECV,4F4B0D
03-22-2019 17:19:28.922,11647,SENT,415444420D
03-22-2019 17:19:28.931,11648,RECV,3437
03-22-2019 17:19:28.932,11649,RECV,0D
03-22-2019 17:19:30.423,11650,SENT,2B2B2B
03-22-2019 17:19:30.439,11651,RECV,4F4B0D
03-22-2019 17:19:31.924,11652,SENT,415444420D
03-22-2019 17:19:31.945,11653,RECV,34370D
03-22-2019 17:19:33.425,11654,SENT,2B2B2B
03-22-2019 17:19:33.455,11655,RECV,4F4B0D
03-22-2019 17:19:34.926,11656,SENT,415444420D
03-22-2019 17:19:34.963,11657,RECV,34370D
03-22-2019 17:19:36.427,11658,SENT,2B2B2B
03-22-2019 17:19:36.470,11659,RECV,4F4B0D
03-22-2019 17:19:37.927,11660,SENT,415444420D
03-22-2019 17:19:37.978,11661,RECV,34370D
03-22-2019 17:19:39.429,11662,SENT,2B2B2B
03-22-2019 17:19:39.437,11663,RECV,4F4B0D
03-22-2019 17:19:40.928,11664,SENT,415444420D
03-22-2019 17:19:40.944,11665,RECV,34370D
03-22-2019 17:19:42.430,11666,SENT,2B2B2B
03-22-2019 17:19:42.451,11667,RECV,4F4B0D
03-22-2019 17:19:43.930,11668,SENT,415444420D
03-22-2019 17:19:43.959,11669,RECV,34370D
03-22-2019 17:19:45.431,11670,SENT,2B2B2B
03-22-2019 17:19:45.469,11671,RECV,4F4B0D
03-22-2019 17:19:46.931,11672,SENT,415444420D
03-22-2019 17:19:46.975,11673,RECV,34370D
03-22-2019 17:19:48.432,11674,SENT,2B2B2B
03-22-2019 17:19:48.485,11675,RECV,4F4B0D
03-22-2019 17:19:49.932,11676,SENT,415444420D
03-22-2019 17:19:49.991,11677,RECV,34370D
03-22-2019 17:19:51.434,11678,SENT,2B2B2B
03-22-2019 17:19:51.450,11679,RECV,4F4B0D
03-22-2019 17:19:52.933,11680,SENT,415444420D
03-22-2019 17:19:52.959,11681,RECV,34390D
03-22-2019 17:19:54.435,11682,SENT,2B2B2B
03-22-2019 17:19:54.466,11683,RECV,4F4B0D
03-22-2019 17:19:55.935,11684,SENT,415444420D
03-22-2019 17:19:55.974,11685,RECV,34390D
03-22-2019 17:19:57.436,11686,SENT,2B2B2B
03-22-2019 17:19:57.483,11687,RECV,4F4B0D
03-22-2019 17:19:58.936,11688,SENT,415444420D
03-22-2019 17:19:58.990,11689,RECV,34390D
03-22-2019 17:20:00.440,11690,SENT,2B2B2B
03-22-2019 17:20:00.446,11691,RECV,4F4B
03-22-2019 17:20:00.497,11692,RECV,0D
03-22-2019 17:20:01.941,11693,SENT,415444420D
03-22-2019 17:20:02.005,11694,RECV,34390D
03-22-2019 17:20:03.444,11695,SENT,2B2B2B
03-22-2019 17:20:03.462,11696,RECV,4F4B0D
03-22-2019 17:20:04.944,11697,SENT,415444420D
03-22-2019 17:20:05.018,11698,RECV,34410D
03-22-2019 17:20:06.446,11699,SENT,2B2B2B
03-22-2019 17:20:06.476,11700,RECV,4F4B0D
03-22-2019 17:20:07.945,11701,SENT,415444420D
03-22-2019 17:20:07.987,11702,RECV,34410D
03-22-2019 17:20:09.446,11703,SENT,2B2B2B
03-22-2019 17:20:09.494,11704,RECV,4F4B0D
03-22-2019 17:20:10.946,11705,SENT,415444420D
03-22-2019 17:20:10.953,11706,RECV,34
03-22-2019 17:20:11.003,11707,RECV,410D
03-22-2019 17:20:12.447,11708,SENT,2B2B2B
03-22-2019 17:20:12.461,11709,RECV,4F4B0D
03-22-2019 17:20:13.947,11710,SENT,415444420D
03-22-2019 17:20:13.970,11711,RECV,34410D
03-22-2019 17:20:15.449,11712,SENT,2B2B2B
03-22-2019 17:20:15.477,11713,RECV,4F4B0D
03-22-2019 17:20:16.949,11714,SENT,415444420D
03-22-2019 17:20:16.986,11715,RECV,34410D
03-22-2019 17:20:18.451,11716,SENT,2B2B2B
03-22-2019 17:20:18.493,11717,RECV,4F4B0D
03-22-2019 17:20:19.951,11718,SENT,415444420D
03-22-2019 17:20:20.001,11719,RECV,34410D
03-22-2019 17:20:21.452,11720,SENT,2B2B2B
03-22-2019 17:20:21.458,11721,RECV,4F4B0D
03-22-2019 17:20:22.952,11722,SENT,415444420D
03-22-2019 17:20:22.965,11723,RECV,34410D
03-22-2019 17:20:24.454,11724,SENT,2B2B2B
03-22-2019 17:20:24.473,11725,RECV,4F4B0D
03-22-2019 17:20:25.953,11726,SENT,415444420D
03-22-2019 17:20:25.979,11727,RECV,34410D
03-22-2019 17:20:27.453,11728,SENT,2B2B2B
03-22-2019 17:20:27.489,11729,RECV,4F4B0D
03-22-2019 17:20:28.954,11730,SENT,415444420D
03-22-2019 17:20:28.995,11731,RECV,34410D
03-22-2019 17:20:30.454,11732,SENT,2B2B2B
03-22-2019 17:20:30.507,11733,RECV,4F4B0D
03-22-2019 17:20:31.955,11734,SENT,415444420D
03-22-2019 17:20:31.972,11735,RECV,34410D
03-22-2019 17:20:33.456,11736,SENT,2B2B2B
03-22-2019 17:20:33.482,11737,RECV,4F4B0D
03-22-2019 17:20:34.956,11738,SENT,415444420D
03-22-2019 17:20:34.988,11739,RECV,34410D
03-22-2019 17:20:36.458,11740,SENT,2B2B2B
03-22-2019 17:20:36.494,11741,RECV,4F4B0D
03-22-2019 17:20:37.959,11742,SENT,415444420D
03-22-2019 17:20:38.004,11743,RECV,34410D
03-22-2019 17:20:39.461,11744,SENT,2B2B2B
03-22-2019 17:20:39.509,11745,RECV,4F4B0D
03-22-2019 17:20:40.961,11746,SENT,415444420D
03-22-2019 17:20:40.971,11747,RECV,34410D
03-22-2019 17:20:42.462,11748,SENT,2B2B2B
03-22-2019 17:20:42.478,11749,RECV,4F4B0D
03-22-2019 17:20:43.963,11750,SENT,415444420D
03-22-2019 17:20:43.987,11751,RECV,34410D
03-22-2019 17:20:45.465,11752,SENT,2B2B2B
03-22-2019 17:20:45.491,11753,RECV,4F4B0D
03-22-2019 17:20:46.965,11754,SENT,415444420D
03-22-2019 17:20:47.000,11755,RECV,34410D
03-22-2019 17:20:48.467,11756,SENT,2B2B2B
03-22-2019 17:20:48.509,11757,RECV,4F4B0D
03-22-2019 17:20:49.968,11758,SENT,415444420D
03-22-2019 17:20:50.017,11759,RECV,34410D
03-22-2019 17:20:51.468,11760,SENT,2B2B2B
03-22-2019 17:20:51.478,11761,RECV,4F4B0D
03-22-2019 17:20:52.969,11762,SENT,415444420D
03-22-2019 17:20:53.037,11763,RECV,34380D
03-22-2019 17:20:54.470,11764,SENT,2B2B2B
03-22-2019 17:20:54.492,11765,RECV,4F4B0D
03-22-2019 17:20:55.970,11766,SENT,415444420D	
03-22-2019 17:20:56.053,11767,RECV,34380D
03-22-2019 17:20:57.471,11768,SENT,2B2B2B
03-22-2019 17:20:57.512,11769,RECV,4F4B0D
03-22-2019 17:20:58.971,11770,SENT,415444420D
03-22-2019 17:20:59.021,11771,RECV,34380D
03-22-2019 17:21:00.472,11772,SENT,2B2B2B
03-22-2019 17:21:00.533,11773,RECV,4F4B0D
03-22-2019 17:21:01.972,11774,SENT,415444420D
03-22-2019 17:21:01.989,11775,RECV,34380D
03-22-2019 17:21:03.474,11776,SENT,2B2B2B
03-22-2019 17:21:03.545,11777,RECV,4F4B0D
03-22-2019 17:21:04.975,11778,SENT,415444420D
03-22-2019 17:21:05.055,11779,RECV,34370D
03-22-2019 17:21:06.475,11780,SENT,2B2B2B
03-22-2019 17:21:06.514,11781,RECV,4F4B0D
03-22-2019 17:21:07.975,11782,SENT,415444420D
03-22-2019 17:21:08.073,11783,RECV,34380D
03-22-2019 17:21:09.477,11784,SENT,2B2B2B
03-22-2019 17:21:09.482,11785,RECV,4F4B
03-22-2019 17:21:09.533,11786,RECV,0D
